authorDisplayName,textDisplay,textDisplayAdj,scores,neg_score,pos_score,neu_score,compound_score,sentiment,publishedAt
@Taobakoinay-h7k,Baby changli running to mommy changli scene was so good 👍💯,baby changli running mommy changli scene good,"{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.5777}",0.0,0.223,0.777,0.5777,positive,2024-07-29T17:31:20Z
@idrissbenmaiza-e4k,What do you think of the idea of adding an automatic system as this system allows characters reom the game would and fight freely which makes it easier to collect Echo,think idea adding automatic system system allows character reom game would fight freely make easier collect echo,"{'neg': 0.072, 'neu': 0.771, 'pos': 0.157, 'compound': 0.4767}",0.072,0.157,0.771,0.4767,positive,2024-07-29T15:40:34Z
@idrissbenmaiza-e4k,"The story Quest of Yaline raises blood pressure and the reason is that when the door closes on you, you have to open it by using sound vibrations. I am still suffering with the sound vibrations, especially since I use the phone. I hope this system (the door opening system) changes.",story quest yaline raise blood pressure reason door close open using sound vibration still suffering sound vibration especially since use phone hope system door opening system change,"{'neg': 0.094, 'neu': 0.854, 'pos': 0.052, 'compound': -0.34}",0.094,0.052,0.854,-0.34,negative,2024-07-29T15:37:15Z
@user-sm8rr4sx6p,We require an Arabic language download for the game...,require arabic language download game,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-29T14:26:01Z
@ROsa20006,i believe in chongli supermercy.,believe chongli supermercy,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-29T10:31:52Z
@mirai.p.p.x,"This is the first story quest I liked in WuWa. I can&#39;t finde big shortcomeings in the story telling, it was well writen. (I&#39;m not amazed, but it was good.) I started to like this character more! :)<br>But where is Calcharos story quest and trailer video? WuWa team forgot about him?",first story quest liked wuwa finde big shortcomeings story telling well writen amazed good started like character calcharos story quest trailer video wuwa team forgot,"{'neg': 0.031, 'neu': 0.779, 'pos': 0.19, 'compound': 0.8551}",0.031,0.19,0.779,0.8551,positive,2024-07-29T07:20:42Z
@meimei1903,Can&#39;t wait to v1.2,wait v,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-29T03:10:09Z
@dalsup53,Jinshi and changli story had me crying kuro good job 😭 please keep this going in the future 🙏🏾,jinshi changli story cry kuro good job please keep going future,"{'neg': 0.191, 'neu': 0.648, 'pos': 0.16, 'compound': -0.25}",0.191,0.16,0.648,-0.25,negative,2024-07-29T01:06:44Z
@Undertakerr,This story quest is one of the best quests I&#39;ve ever played in any game. So beautiful.,story quest one best quest ever played game beautiful,"{'neg': 0.0, 'neu': 0.547, 'pos': 0.453, 'compound': 0.9116}",0.0,0.453,0.547,0.9116,positive,2024-07-28T21:01:59Z
@fabioferreira2993,"My favorite Quest/Story! What a magnificent masterpiece. If there was a way to replay it, I would do it definitely!",favorite quest story magnificent masterpiece way replay would definitely,"{'neg': 0.0, 'neu': 0.528, 'pos': 0.472, 'compound': 0.9358}",0.0,0.472,0.528,0.9358,positive,2024-07-28T19:52:06Z
@alfredearly1774,"Yo, Rover is still using the training sword? What? 😅",yo rover still using training sword,"{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.4329}",0.0,0.192,0.808,0.4329,positive,2024-07-28T19:38:52Z
@oreoo2828,"WuWa is kinda rip-off of Genshin, so both Traveler and Rover doing similar things are normal. 😅",wuwa kinda rip genshin traveler rover similar thing normal,"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.3612}",0.0,0.116,0.884,0.3612,positive,2024-07-31T10:08:01Z
@renyoudie,Literally my fav character story so far. Keep it up Kuroooooo,literally fav character story far keep kuro,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4588}",0.0,0.231,0.769,0.4588,positive,2024-07-28T16:28:55Z
@nguyentuankiet1068,Can I ask when Vietnamese will be available?😢😢,ask vietnamese available,"{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.7351}",0.383,0.0,0.617,-0.7351,negative,2024-07-28T15:39:54Z
@carmillathepursuer,Damn the quality of 1.1 is blowing my mind.,damn quality blowing mind,"{'neg': 0.252, 'neu': 0.748, 'pos': 0.0, 'compound': -0.4019}",0.252,0.0,0.748,-0.4019,negative,2024-07-28T14:07:40Z
@Hikaris-cw9zf,Haven&#39;t watched the Video toll now.<br><br>Ist this from Storyquest or Something extra to watch?,watched video toll ist storyquest something extra watch,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-28T07:33:03Z
@kantokuu,"Story quest for Changli, if you haven&#39;t finished it yet spoilers!!!",story quest changli finished yet spoiler,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-28T07:48:17Z
@Hikaris-cw9zf,"@@kantokuu OK thx, i will Not watch it, have Not even started the Quest Till now xD",kantokuu ok thx watch even started quest till xd,"{'neg': 0.0, 'neu': 0.603, 'pos': 0.397, 'compound': 0.8494}",0.0,0.397,0.603,0.8494,positive,2024-07-28T09:28:10Z
@kantokuu,"@@Hikaris-cw9zf I recommend you play it now. It&#39;s the best character story so far, on par with Jinhsi if not better.",hikaris cw zf recommend play best character story far par jinhsi better,"{'neg': 0.084, 'neu': 0.596, 'pos': 0.319, 'compound': 0.7713}",0.084,0.319,0.596,0.7713,positive,2024-07-28T09:33:19Z
@dragonfast6605,Why there&#39;s no ps4 version?,p version,"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.296}",0.355,0.0,0.645,-0.296,negative,2024-07-28T07:21:11Z
@WizArt85,"For the love of God, can you give us a release date for the PS5 …. This is killing me 😂😢",love god give u release date p killing,"{'neg': 0.232, 'neu': 0.519, 'pos': 0.249, 'compound': 0.1779}",0.232,0.249,0.519,0.1779,positive,2024-07-28T05:57:55Z
@kavishmathur2272,Peek animation,peek animation,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-28T03:39:10Z
@Operator-B00,When is the game coming to consoles?,game coming console,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-27T22:33:14Z
@RaySolus,Damn it i new i need male rover curse my reroll mc,damn new need male rover curse reroll mc,"{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.7351}",0.383,0.0,0.617,-0.7351,negative,2024-07-27T19:28:51Z
@Edolph_6m,I&#39;m glad that we get to have an insight into the character&#39;s backstory and personality. Unlike in  another game i actually feel interested and do not skip every piece of dialogue,glad get insight character backstory personality unlike another game actually feel interested skip every piece dialogue,"{'neg': 0.0, 'neu': 0.836, 'pos': 0.164, 'compound': 0.6908}",0.0,0.164,0.836,0.6908,positive,2024-07-27T19:12:42Z
@nachiketnaik9355,I hope I get Changli.Wish me luck guys😊.,hope get changli wish luck guy,"{'neg': 0.0, 'neu': 0.431, 'pos': 0.569, 'compound': 0.8979}",0.0,0.569,0.431,0.8979,positive,2024-07-27T17:07:38Z
@markh9303,"loved how heartfelt of a dimension was added to her with this quest. She could have kept just the sly schemer vibes and i would have been fine, but seeing how earnest she really is deep down was getting me quite emotional, she feels so much more fragile after having played the quest, I now have the urge to want to protect her despite her being a million times more capable than me. At the end of everyone&#39;s story quest i keep just wanting to give them a hug 🥺",loved heartfelt dimension added quest could kept sly schemer vibe would fine seeing earnest really deep getting quite emotional feel much fragile played quest urge want protect despite million time capable end everyone story quest keep wanting give hug,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.9795}",0.0,0.262,0.738,0.9795,positive,2024-07-27T14:34:04Z
@RayneGabriel-j1j,This is why im in love with the game,im love game,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.6369}",0.0,0.344,0.656,0.6369,positive,2024-07-27T14:10:50Z
@pheonix2019,Please please we need skins please please❤❤❤❤,please please need skin please please,"{'neg': 0.0, 'neu': 0.212, 'pos': 0.788, 'compound': 0.9776}",0.0,0.788,0.212,0.9776,positive,2024-07-27T13:59:09Z
@shin_ramyun,"<a href=""https://www.youtube.com/watch?v=gA0Z1qd0ymQ&amp;t=203"">3:23</a>  <a href=""https://www.youtube.com/watch?v=gA0Z1qd0ymQ&amp;t=427"">7:07</a>  i know it&#39;s not much but i really like this small detail where Rover is switching between Changlis eyes. I don&#39;t know how to explain but it just feels more human",know much really like small detail rover switching changlis eye know explain feel human,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.6186}",0.0,0.106,0.894,0.6186,positive,2024-07-27T13:20:44Z
@kantokuu,I really love the details in this game!! They really nailed the animation with realistic human emotions embedded through their actions/movements❤,really love detail game really nailed animation realistic human emotion embedded action movement,"{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.8828}",0.0,0.306,0.694,0.8828,positive,2024-07-28T07:50:52Z
@Gekkoua,Are you talking about Genshin? 😂,talking genshin,"{'neg': 0.139, 'neu': 0.584, 'pos': 0.277, 'compound': 0.4404}",0.139,0.277,0.584,0.4404,positive,2024-07-27T14:21:35Z
@感激庫洛爸爸創造吟霖,@@Gekkoua It’s hard to imagine why a person would make the decision not to play Mingchao😽,gekkoua hard imagine person would make decision play mingchao,"{'neg': 0.149, 'neu': 0.692, 'pos': 0.16, 'compound': 0.3103}",0.149,0.16,0.692,0.3103,positive,2024-07-27T15:19:53Z
@lucylu6368,"@@GekkouaI think both games, no matter wuthering waves or genshin, you can find zelda inside.",gekkouai think game matter wuthering wave genshin find zelda inside,"{'neg': 0.071, 'neu': 0.929, 'pos': 0.0, 'compound': -0.0191}",0.071,0.0,0.929,-0.0191,neutral,2024-07-27T23:47:12Z
@感激庫洛爸爸創造吟霖,@@lucylu6368 Assassin&#39;s Creed,lucylu assassin creed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-28T11:17:01Z
@buntyrajkumar5979,Dear Kuro pls upload the changli ost I enjoy with all the ost while playing her Quest...,dear kuro pls upload changli ost enjoy ost playing quest,"{'neg': 0.0, 'neu': 0.594, 'pos': 0.406, 'compound': 0.7845}",0.0,0.406,0.594,0.7845,positive,2024-07-27T11:27:29Z
@gabegamingguy2858,Her quest was truly awesome and it really showed more of her character and what she has gone through to get to where she is now.,quest truly awesome really showed character gone get,"{'neg': 0.0, 'neu': 0.774, 'pos': 0.226, 'compound': 0.7906}",0.0,0.226,0.774,0.7906,positive,2024-07-27T08:28:02Z
@scorpion49023,"Does wuthering waves have any black characters in it? If not will there be any in the future? <a href=""https://www.youtube.com/watch?v=gA0Z1qd0ymQ&amp;t=139"">2:19</a>",wuthering wave black character future,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-27T07:53:45Z
@indis-o7v,floro must be come out，but I’m not sure whether scar can go online😅,floro must come sure whether scar go online,"{'neg': 0.101, 'neu': 0.771, 'pos': 0.128, 'compound': 0.1376}",0.101,0.128,0.771,0.1376,positive,2024-07-27T08:05:52Z
@kantokuu,"Not as of yet, maybe in the future when the game progresses though different regions/nations",yet maybe future game progress though different region nation,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-28T07:52:12Z
@Tammy-dv9cy,Can we have a pretty unicorn character pls,pretty unicorn character pls,"{'neg': 0.0, 'neu': 0.571, 'pos': 0.429, 'compound': 0.5423}",0.0,0.429,0.571,0.5423,positive,2024-07-27T07:29:17Z
@destoc5661,It&#39;s fucking DULL BLADE over again! <br>DULL FUCKING BLADE!<br>OI KURO! FUCK YOU!,fucking dull blade dull fucking blade oi kuro fuck,"{'neg': 0.501, 'neu': 0.499, 'pos': 0.0, 'compound': -0.9011}",0.501,0.0,0.499,-0.9011,negative,2024-07-27T07:03:16Z
@Deathy75,"Wuwa is quite fun, the combat and exploration is really good, you guys should give it a sho-<br><br>KURO! BRING BACK THE CROWNLESS FROM CBT1, AND MY LIFE IS YOURS",wuwa quite fun combat exploration really good guy give sho kuro bring back crownless cbt life,"{'neg': 0.073, 'neu': 0.682, 'pos': 0.245, 'compound': 0.7441}",0.073,0.245,0.682,0.7441,positive,2024-07-27T05:16:46Z
@its_Khoa,"at this point they should just hire a film director, music director",point hire film director music director,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-27T04:13:25Z
@myprivate5482,"I think when Changli dies and is reborn from the ashes like the legend of the phoenix, she will have her own 4-cost Echo. But will Kuro and the fans dare to let her die once?🥲",think changli dy reborn ash like legend phoenix cost echo kuro fan dare let die,"{'neg': 0.13, 'neu': 0.827, 'pos': 0.043, 'compound': -0.6808}",0.13,0.043,0.827,-0.6808,negative,2024-07-27T04:27:32Z
@Layan_ot,"I hope I get Ghangli  Because I was impatiently waiting for it, but I lost 50/50 💔",hope get ghangli impatiently waiting lost,"{'neg': 0.301, 'neu': 0.438, 'pos': 0.261, 'compound': -0.0516}",0.301,0.261,0.438,-0.0516,negative,2024-07-26T22:49:59Z
@imperimgladius,"Lets goo, <br> I kept on saving her story for this weekend so I can enjoy it the most.",let goo kept saving story weekend enjoy,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.5367}",0.0,0.161,0.839,0.5367,positive,2024-07-26T18:18:28Z
@aliwrk7,When I played this quest the lip sync was bugged on key moments. hopefully doesn’t happen to future quests ❤,played quest lip sync bugged key moment hopefully happen future quest,"{'neg': 0.0, 'neu': 0.659, 'pos': 0.341, 'compound': 0.8519}",0.0,0.341,0.659,0.8519,positive,2024-07-26T10:47:23Z
@kantokuu,"not bugged, it&#39;s just synced in Chinese VO",bugged synced chinese vo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-26T21:11:38Z
@aliwrk7,@@kantokuu but this video is synced up to English right? Why not in base game?,kantokuu video synced english right base game,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-26T22:34:39Z
@kantokuu,@@aliwrk7 It&#39;s actually the same ingame... unless you guys are referring a glitch unbeknownst to me.,aliwrk actually ingame unless guy referring glitch unbeknownst,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-27T01:57:21Z
@truongnhan5646,"So sad to say the story quest of Changli is the first ever time I ignored the skip button.<br>I played since 1.1. My dull excuse of trying to keep up with the old players and skipping all the gorgeous &quot;roots&quot; of the game really makes me a f*cking idiot.<br>Thanks a lot for bringing me much of memorable experience via this.<br>Love it, and Changli personally😊",sad say story quest changli first ever time ignored skip button played since dull excuse trying keep old player skipping gorgeous root game really make f cking idiot thanks lot bringing much memorable experience via love changli personally,"{'neg': 0.101, 'neu': 0.734, 'pos': 0.165, 'compound': 0.6494}",0.101,0.165,0.734,0.6494,positive,2024-07-26T09:35:21Z
@DARKHERO3000X,Greatest hentai cutscene of all time,greatest hentai cutscene time,"{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}",0.0,0.457,0.543,0.6369,positive,2024-07-26T05:54:02Z
@angelofdarkness1435,Absolute Cinema right here and everyone knows it,absolute cinema right everyone know,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-26T04:47:04Z
@lat7419,Glad I chose Rover male,glad chose rover male,"{'neg': 0.0, 'neu': 0.571, 'pos': 0.429, 'compound': 0.4588}",0.0,0.429,0.571,0.4588,positive,2024-07-26T04:41:38Z
@forhue4920,"I like that every companion quest of this game we&#39;ve got to learn more about the characters&#39; life and personality because it is ACTUALLY about the characters and not about doing &#39;errands&#39; and solving problems for the npcs. And to make it better, it&#39;s also related to the main story of the game.",like every companion quest game got learn character life personality actually character errand solving problem npc make better also related main story game,"{'neg': 0.045, 'neu': 0.824, 'pos': 0.131, 'compound': 0.6249}",0.045,0.131,0.824,0.6249,positive,2024-07-26T03:59:06Z
@Kazeshini11,Everything about Changli is perfect. Kudos Kuro game. Keep putting W&#39;s like this out and you&#39;ll dominate.,everything changli perfect kudos kuro game keep putting w like dominate,"{'neg': 0.062, 'neu': 0.542, 'pos': 0.396, 'compound': 0.8402}",0.062,0.396,0.542,0.8402,positive,2024-07-26T03:53:15Z
@Leon_S._Kennedy,Best story so far,best story far,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}",0.0,0.583,0.417,0.6369,positive,2024-07-26T03:18:22Z
@Mochrio,Is it just me or does changli as a kid kinda give encore vibes?,changli kid kinda give encore vibe,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-26T02:50:53Z
@vasto.lorde.2809,"Thank you guys for creating this beautiful game and still improving trailer after trailer , patch after patch , RESPECT KURO GAMES , YOU GUYS ARE GOATED!",thank guy creating beautiful game still improving trailer trailer patch patch respect kuro game guy goated,"{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.9455}",0.0,0.425,0.575,0.9455,positive,2024-07-26T00:48:21Z
@zapp5er284,no idea whats going on but this is awesome,idea whats going awesome,"{'neg': 0.112, 'neu': 0.491, 'pos': 0.396, 'compound': 0.7227}",0.112,0.396,0.491,0.7227,positive,2024-07-25T21:26:23Z
@Metoyou2,I still get kicked out from this game😭😭😭,still get kicked game,"{'neg': 0.399, 'neu': 0.601, 'pos': 0.0, 'compound': -0.8519}",0.399,0.0,0.601,-0.8519,negative,2024-07-25T19:13:23Z
@Roni-t2d,It&#39;s been 1 month game can&#39;t play this game for one minute lags and freeze even in low setting worst gacha game in optimization and story waste of time<br>Edit-Bro the game dev themselves told  that the game have issue like lag and game freeze and the are trying to troubleshoot but still can&#39;t solve it,month game play game one minute lag freeze even low setting worst gacha game optimization story waste timeedit bro game dev told game issue like lag game freeze trying troubleshoot still solve,"{'neg': 0.151, 'neu': 0.686, 'pos': 0.163, 'compound': -0.296}",0.151,0.163,0.686,-0.296,negative,2024-07-25T17:24:30Z
@Penguin-nx5nc,Same for me. Before 1.1 I could play the game smoothly but afterwards it became impossible to play. However I really liked the story so far,could play game smoothly afterwards became impossible play however really liked story far,"{'neg': 0.0, 'neu': 0.72, 'pos': 0.28, 'compound': 0.8376}",0.0,0.28,0.72,0.8376,positive,2024-07-25T19:49:27Z
@Leon_S._Kennedy,Seem like a massive phone issue<br>I run it with no problem,seem like massive phone issuei run problem,"{'neg': 0.0, 'neu': 0.654, 'pos': 0.346, 'compound': 0.5801}",0.0,0.346,0.654,0.5801,positive,2024-07-26T03:19:21Z
@KafHimexx,300 dollar phones can run this game,dollar phone run game,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-26T05:54:16Z
@alfianrizkifauzi,"Please let me play wuthering wave with controller on ipad, iphone or androidd. Not everyone could buy pc or Playstation :(",please let play wuthering wave controller ipad iphone androidd everyone could buy pc playstation,"{'neg': 0.113, 'neu': 0.703, 'pos': 0.184, 'compound': 0.2023}",0.113,0.184,0.703,0.2023,positive,2024-07-25T16:40:58Z
@swichisan2821,Is this Spoilers? Pls i didnt done the Quest yet,spoiler pls didnt done quest yet,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.0772}",0.0,0.126,0.874,0.0772,positive,2024-07-25T16:38:02Z
@kantokuu,definitely a spoiler lol,definitely spoiler lol,"{'neg': 0.0, 'neu': 0.267, 'pos': 0.733, 'compound': 0.6705}",0.0,0.733,0.267,0.6705,positive,2024-07-26T21:13:22Z
@laxy4694,"<a href=""https://www.youtube.com/watch?v=gA0Z1qd0ymQ&amp;t=199"">3:19</a> FITS SO DAMM WELL HOW DO THEY FIT SO WELL GAHHH",fit damm well fit well gah,"{'neg': 0.0, 'neu': 0.463, 'pos': 0.537, 'compound': 0.9121}",0.0,0.537,0.463,0.9121,positive,2024-07-25T13:52:46Z
